url_id,total_meters,price
301890265,35.2,13900000
300609717,40.0,9850000
295758505,32.8,8900000
293760838,42.4,19450000
301362066,33.0,10540000
301850597,35.2,11950000
301846703,34.8,11000000
301616082,30.1,12200000
301837625,35.0,11000000
294760157,20.3,6900000
299702158,39.0,7100000
301203125,38.0,14000000
299893948,38.9,11300000
301136222,9.6,3090000
297233032,39.0,9750000
294768332,39.3,15500000
301044462,38.0,11200000
301837496,45.0,15499000
298016918,30.3,6825000
301083049,43.1,25450000
301361857,29.5,6688500
300552265,33.0,8400000
295766411,35.3,8977500
299789518,26.9,6507900
300989405,33.0,14900000
298016388,29.8,6370000
296746996,35.1,7220000
300127778,33.0,12000000
294228710,37.0,9215000
298016618,36.1,9120000
300522888,15.9,3975000
294226529,36.1,9120000
300251102,35.0,15497737
301130958,48.6,25750000
296747241,36.0,9120000
301891372,41.7,12990000
294926973,36.9,9215000
298882717,36.5,9215000
300136053,32.6,9800000
297465291,36.3,9215000
295766589,35.9,9072500
299798021,31.0,9000000
299055856,33.6,15500000
299093726,39.9,11700000
298979276,44.4,12400000
299397912,38.5,11890000
300812067,36.2,27000000
301343617,39.1,11400000
301564205,18.8,4700000
301044096,20.5,9200000
299203398,40.9,16900000
301891999,17.3,7300000
300249602,14.3,15200000
298520004,32.1,12500000
301519256,42.0,12200000
300140948,44.0,22500000
300895436,27.6,6950000
301350226,33.5,11950000
292414373,14.3,7450000
301570159,42.6,11299000
301906475,17.3,7700000
294733815,31.1,10500000
301152007,28.2,5600000
298376026,37.5,14500000
294621795,19.3,8840000
301874646,46.0,17700000
300153550,14.3,4350000
297855046,36.1,9850000
300098216,33.1,9990000
294623881,19.9,8060000
293749407,46.7,17999900
301860935,37.6,8900000
300938234,30.0,9900000
292542632,19.4,8880000
301804694,42.3,14499999
301398177,53.1,17050000
301847640,35.0,11800000
301737950,38.0,9000000
297827625,49.0,24900000
301717037,31.3,10400000
298340622,44.1,19000000
300622311,49.7,15950000
300985679,32.5,12290000
298503162,34.2,9900000
295404061,30.0,6200000
300670685,30.0,9700000
299599495,31.05,10400000
301277267,49.2,23990000
301080289,49.6,12300000
301928354,37.0,13200000
301401833,39.4,9500000
300870617,32.0,11200000
300728418,55.7,21000000
301279667,30.0,14950000
299367215,38.6,9500000
298838173,48.8,12700000
299938068,37.9,10450000
301724124,38.9,11490000
301755324,41.0,11500000
301640179,40.87,7349000
297849335,32.0,11000000
301622153,32.0,14500000
300419481,35.2,11200000
298720724,17.5,7840000
301316819,37.3,13800000
294768716,37.8,16800000
301961547,34.9,11950000
301108336,38.0,9550000
299732160,39.7,10760000
300779111,38.0,10500000
300941020,46.3,18400000
296063154,47.6,21000000
301975471,34.3,13000000
298623428,38.9,9100000
301019177,36.0,22000000
300301003,36.0,9500000
299731071,44.0,13500000
301158947,37.9,9800000
298907853,39.1,13600000
301379769,30.9,8500000
301156926,25.5,10000000
301226797,47.1,9700000
298254403,42.9,23900000
300297108,34.0,17000000
301911914,38.0,9100000
301364480,40.7,26500000
301573550,35.0,22600000
295649148,18.9,5570000
301184666,45.0,22500000
300936684,33.7,10488000
301085182,21.5,18500000
301808361,46.0,25700000
301103601,44.2,11900000
299198123,43.5,23000000
300726879,14.0,10770000
298748477,32.0,9300000
301038952,31.0,10111111
300301779,37.5,10500000
301134253,35.0,8990000
300992263,44.0,12400000
299679325,38.6,8950000
301306833,40.3,23300000
297954576,40.9,9399000
299768562,31.0,13950000
301120641,40.1,20000000
299893429,32.7,8490000
300935784,27.0,15500000
301785087,40.0,10500000
299579932,45.0,24900000
295854506,41.1,21390000
296403483,34.0,7500000
300686032,37.4,22500000
300650861,26.9,15700000
301455189,42.3,12200000
298769395,45.0,24500000
294397304,38.3,10300000
301739050,31.0,8250000
297239752,38.0,10700000
298547672,39.2,10800000
301036306,38.0,11590000
300836554,36.9,9400000
286542367,42.0,27500000
301162238,31.6,11700000
301309301,32.1,10500000
301154443,43.4,11888000
301405324,34.6,10000000
301682297,40.7,5700000
300144570,41.0,21000000
295252070,0.4,19450000
300816819,37.0,12500000
298664477,37.2,19500000
295415897,37.2,10200000
294755887,39.0,13000000
300329014,34.6,12400000
298373961,32.6,9950000
298555341,39.0,9300000
299151077,36.3,12700000
299727429,37.0,8500000
300507836,43.5,9150000
300298431,37.9,8200000
300026151,31.3,11290000
301874465,35.0,7200000
294390871,28.6,7200000
300777163,33.0,7700000
296283974,32.3,7800000
275891629,39.1,8000000
298504858,40.0,8000000
299185514,20.2,8080000
300844028,32.8,8150000
283252548,32.0,8200000
297242273,34.8,8250000
300640454,39.2,8300000
299098543,41.2,8400000
274992411,38.0,8400000
300897925,33.0,8400000
300026900,25.0,8450000
297269769,33.1,8500000
301224949,29.5,8500000
298780356,30.4,8500000
297471229,34.6,8645000
300059358,33.1,8550000
296150165,17.5,8600000
296521470,32.6,8700000
300208649,34.15,8700000
301832943,39.0,8700000
301542572,37.0,8650000
301854568,39.5,8790000
296124514,17.2,8780000
301960808,32.4,8800000
297283770,35.3,8977500
297249616,35.5,8900000
300499704,30.0,8999000
297115762,30.1,9000000
300884607,32.0,9000000
300779233,39.1,9150000
299944808,36.0,9100000
301781927,36.0,9100000
300094354,35.0,9150000
299359436,33.0,9200000
301255257,33.0,9200000
298956219,36.3,9200000
301813453,32.7,9200000
300031599,33.2,9300000
300932908,32.4,9300000
301735940,38.0,9300000
297561553,37.4,9300000
300754120,30.8,9250000
301736401,30.0,9400000
301385095,36.0,9400000
300594086,39.0,9500000
299190804,37.6,9500000
299923199,30.4,9500000
301488997,37.9,9600000
297450649,34.8,9550000
300946150,41.4,9600000
301275095,48.0,9650000
300822573,34.0,9800000
301137645,35.2,10400000
301566166,32.8,10400000
298701457,39.1,10400000
299098600,45.0,10500000
300838166,42.1,10500000
301742298,33.1,10500000
299560983,32.9,10500000
299572625,35.0,10500000
298191085,37.0,10490000
300693446,37.5,10500000
297666488,35.8,10500000
300839433,30.8,10500000
300150011,34.5,10500000
301528775,38.0,10500000
301062543,35.9,10500000
301577429,38.5,10500000
301790903,41.0,10500000
300742895,36.8,10500000
301848744,38.0,10600000
301926492,41.0,10600000
298245633,37.7,10600000
300188888,33.0,10700000
301274351,37.3,10700000
301160188,40.0,10699000
301311627,38.6,10700000
301843003,38.0,10700000
298208285,37.0,10700000
301719848,33.8,10800000
299543766,38.5,10800000
301231554,36.6,10800000
299098420,36.4,10799999
