author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/301402963/,Москва,sale,flat,62,78,3,120.0,-1,0,84000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298575698/,Москва,sale,flat,6,6,3,65.0,-1,0,49000000,Басманный, Покровка,38С1,Курская,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/294302005/,Москва,sale,flat,8,13,3,88.2,-1,0,39000000,Даниловский,проспект Лихачева,10к3,Технопарк,Квартал на набережной NOW
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/293669824/,Москва,sale,flat,3,6,3,127.0,-1,0,34300000,, Луговая,20Вк5,Крёкшино,Vnukovo Country Club
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/274999319/,Москва,sale,flat,10,12,3,80.0,-1,0,37000000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296702722/,Москва,sale,flat,68,78,3,140.0,-1,0,98000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/294375414/,Москва,sale,flat,28,78,3,96.0,-1,0,67200000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/296768539/,Москва,sale,flat,3,4,3,79.0,-1,0,32300000,Замоскворечье,Большая Серпуховская ,44,Серпуховская,
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296585885/,Москва,sale,flat,43,78,3,122.0,-1,0,85400000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/301389055/,Москва,sale,flat,50,85,3,192.7,-1,0,115000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/299232975/,Москва,sale,flat,14,20,3,83.0,-1,0,99000000,Пресненский,Мантулинская ,9к6,Москва-Сити,City Park
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/293128332/,Москва,sale,flat,29,78,3,100.0,-1,0,70000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/295184215/,Москва,sale,flat,13,15,3,93.0,-1,0,41500000,Даниловский,проспект Лихачева,16к1,Технопарк,Квартал на набережной NOW
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/299242936/,Москва,sale,flat,13,13,3,250.0,-1,0,500000000,Пресненский,Большая Садовая ,5к1,Маяковская,Квартал апартаментов Сады Пекина
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/277524492/,Москва,sale,flat,21,78,3,92.0,-1,0,64400000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/293380476/,Москва,sale,flat,18,78,3,90.0,-1,0,63000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300301424/,Москва,sale,flat,11,20,3,73.2,-1,0,29000000,Лефортово, Крузенштерна,12к2,Авиамоторная,Символ
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/292945223/,Москва,sale,flat,49,78,3,124.0,-1,0,103000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/293132184/,Москва,sale,flat,13,78,3,96.0,-1,0,67200000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298876198/,Москва,sale,flat,9,11,3,175.0,-1,0,478874057,Хамовники, Ефремова,10к2,Спортивная,Садовые кварталы
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296587634/,Москва,sale,flat,38,78,3,120.0,-1,0,84000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/278675890/,Москва,sale,flat,28,78,3,96.0,-1,0,67200000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296743269/,Москва,sale,flat,24,38,3,98.0,-1,0,37200000,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296702466/,Москва,sale,flat,52,78,3,116.0,-1,0,81200000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296586411/,Москва,sale,flat,44,78,3,125.0,-1,0,87500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/298642631/,Москва,sale,flat,5,23,3,128.0,-1,0,73500000,Очаково-Матвеевское,Староволынская ,12к3,Матвеевская,Волынский
Eightmix Property,real_estate_agent,https://www.cian.ru/sale/flat/300826894/,Москва,sale,flat,4,6,3,179.0,-1,0,246034604,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/293128761/,Москва,sale,flat,18,78,3,100.0,-1,0,70000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301186652/,Москва,sale,flat,14,15,3,50.6,-1,0,12200000,, Стожарова,11,Санино,Новое Внуково
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/300420044/,Москва,sale,flat,7,78,3,90.0,-1,0,63000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/280407661/,Москва,sale,flat,8,78,3,92.0,-1,0,64400000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/298558213/,Москва,sale,flat,3,16,3,60.0,-1,0,54890000,Пресненский,Мантулинская ,9к6,Москва-Сити,City Park
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296587173/,Москва,sale,flat,49,78,3,124.0,-1,0,86800000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/sale/flat/296588130/,Москва,sale,flat,42,78,3,135.0,-1,0,94500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Самолет плюс,real_estate_agent,https://www.cian.ru/sale/flat/300563314/,Москва,sale,flat,15,22,3,122.0,-1,0,63990000,Фили-Давыдково,Давыдковская ,18,Давыдково,Форт Кутузов
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301654398/,Москва,sale,flat,9,12,3,63.0,-1,0,15900000,Очаково-Матвеевское,Веерная ,40К3,Матвеевская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298528648/,Москва,sale,flat,3,9,3,68.3,-1,0,15900000,Ясенево,Литовский бульвар,11К5,Ясенево,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/299334741/,Москва,sale,flat,3,9,3,68.3,-1,0,15900000,Ясенево,Литовский бульвар,11К5,Ясенево,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301294578/,Москва,sale,flat,13,16,3,67.5,-1,0,15990000,Очаково-Матвеевское,Матвеевская ,36К1,Аминьевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298413599/,Москва,sale,flat,2,9,3,63.6,-1,0,15990000,Солнцево,Производственная ,1,Солнцево,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301224529/,Москва,sale,flat,11,16,3,63.5,-1,0,15900000,Очаково-Матвеевское,Очаковское шоссе,6К4,Аминьевская,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/301201091/,Москва,sale,flat,4,17,3,79.4,-1,0,16200000,Южное Бутово, Маршала Савицкого,28,Щербинка,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300327977/,Москва,sale,flat,5,17,3,74.8,-1,0,16200000,Матушкино,Зеленоград,к251,Зеленоград — Крюково,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301308933/,Москва,sale,flat,6,9,3,59.0,-1,0,16400000,Хорошево-Мневники, Демьяна Бедного,4,Народное Ополчение,
